id	Título	Autor	Editor	ISBN	página total	Etiquetas en uso	fecha inicio	fecha fin	Calificaciones de estrellas
1	Las siete muertes de Evelyn Hardcastle	Stuart Turton	Ático de los Libros	9788417743253	1	#Mystery #Crime #adults	5/1/2023 ~ 23/3/2023		5.0
2	El sueño de Sooley	John Grisham			1	#basketball #adults	4/1/2023 ~ 23/2/2023		4.0
3	Nyxia	Scott Reintgen			1	#ScienceFiction #YoungAdult #Fiction #Fantasy #Space #Dystopia	4/1/2022 ~ 24/2/2022		4.5
4	Nyxia Unleashed	Scott Reintgen			100%	#ScienceFiction #YoungAdult #Fiction #Fantasy #Space #Dystopia	25/3/2022 ~ 26/6/2022		4.5
5	Batman: Nightwalker	Marie Lu	Penguin UK	9780141386843	100%		3/2/2022 ~ 23/2/2022		3.5
6	Warcross	Marie Lu	V&R Ediciones	9789877473421	100%	#YoungAdult #ScienceFiction #Fantasy #Dystopia #Romance #Fiction	30/6/2021 ~ 29/7/2021		4.5
7	Wildcard	Marie Lu	V&R Ediciones		100%	#YoungAdult #ScienceFiction #Fantasy #Dystopia #Romance #Fiction	3/7/2021 ~ 25/7/2021		4.5
8	I'll Show You	Derrick Rose, Sam Smith	Triumph Books	9781641252867	100%	#basketball	15/1/2021 ~ 24/2/2023		2.5
9	El martillo de Thor	Rick Riordan	National Geographic Books	9788490434628	100%		1/7/2018 ~ 28/7/2018		3.5
10	El barco de los muertos 	Rick Riordan	National Geographic Books	9788490438244	100%		1/7/2018 ~ 20/7/2018		3.5
11	El piso mil	Katharine McGee	Molino	9788427210325	100%	#YoungAdult #ScienceFiction #Romance #Fantasy #Fiction	6/7/2019 ~ 30/7/2019		4.0
12	Vértigo	Katharine McGee	Molino		100%	#YoungAdult #ScienceFiction #Romance #Fantasy #Fiction	7/7/2019 ~ 31/7/2019		3.5
13	Cielo infinito	Katharine McGee	Molino		100%	#YoungAdult #ScienceFiction #Romance #Fantasy #Fiction	23/11/2019 ~ 20/12/2019		0.0
14	Ready Player One	Ernest Cline	NOVA	9788490199961	100%		11/1/2020 ~ 21/2/2020		3.5
15	La maldición del titán (Percy Jackson y los dioses del Olimpo...	Rick Riordan	National Geographic Books		100%		8/1/2016 ~ 31/1/2016		3.5
16	El juego infinito 	James Dashner	MONTENA	9786073127158	100%		6/7/2018 ~ 28/7/2018		3.5
17	Revolución	James Dashner	MONTENA	9788490435175	100%		6/1/2019 ~ 22/2/2019		3.0
18	La batalla final	James Dashner	MONTENA	9788490436424	100%		14/6/2019 ~ 11/9/2019		3.5
